"set_num","name","year","num_parts","theme"
"00-1","Weetabix Castle",1970,471,"Legoland"
"0011-2","Town Mini-Figures",1978,12,"Classic Town"
"0011-3","Castle 2 for 1 Bonus Offer",1987,2,"Castle"
"0012-1","Space Mini-Figures",1979,12,"Space"
"0013-1","Space Mini-Figures",1979,12,"Space"
"0014-1","Space Mini-Figures",1979,12,"Space"
"0015-1","Space Mini-Figures",1979,18,"Space"
"0016-1","Castle Mini Figures",1978,15,"Castle"
"00-2","Weetabix Promotional House 1",1976,147,"Legoland"
"00-3","Weetabix Promotional House 2",1976,149,"Legoland"
"00-4","Weetabix Promotional Windmill",1976,126,"Legoland"
"005-1","Basic Building Set in Cardboard",1965,35,"Classic"
"00-6","Special Offer",1985,3,"Town"
"00-7","Weetabix Promotional Lego Village",1976,3,"Legoland"
"010-1","Basic Building Set in Cardboard",1965,57,"Classic"
"010-3","Basic Building Set",1968,77,"Classic"
"011-1","Basic Building Set",1968,145,"Classic"
"022-1","Basic Building Set",1968,110,"Classic"
"03093-1","The Race to Build It Board Game",1999,70,"Gear"
"033-2","Basic Building Set",1968,177,"Classic"
"044-1","Basic Building Set",1968,225,"Classic"
"055-2","Basic Building Set",1968,256,"Classic"
"066-1","Basic Building Set",1968,407,"Classic"
"080-1","Basic Building Set with Train",1967,710,"Classic"
"088-1","Super Set",1969,615,"Universal Building Set"
"10000-1","Guarded Inn",2001,256,"Castle"
"10001-1","Metroliner",2001,785,"Train"
"10002-1","Railroad Club Car",2001,272,"Train"
"10003-1","1 x 2 Sand Red Bricks",2001,100,"Bulk Bricks"
"10004-1","2 x 2 Sand Red Bricks",2001,100,"Bulk Bricks"
"10005-1","2 x 4 Sand Red Bricks",2001,50,"Bulk Bricks"
"10006-1","1 x 6 Sand Red Bricks",2001,50,"Bulk Bricks"
"10007-1","2 x 4 Sand Red Ridge Roof Tiles Steep Slope",2001,25,"Bulk Bricks"
"10008-1","2 x 4 Roof Tile Sand Red",2001,50,"Bulk Bricks"
"10009-1","Assorted Blue Bricks",2001,62,"Bulk Bricks"
"100-1","4.5V Motor with Wheels (Small Version)",1966,16,"Supplemental"
"10010-1","Assorted Yellow Bricks",2003,63,"Bulk Bricks"
"10011-1","Assorted Blue Plates",2001,42,"Bulk Bricks"
"10012-1","Assorted Yellow Plates",2001,42,"Bulk Bricks"
"10013-1","Open Freight Wagon",2001,121,"9V"
"10014-1","Caboose",2001,170,"9V"
"10015-1","Passenger Wagon",2001,194,"9V"
"10016-1","Tanker",2001,128,"9V"
"10017-1","Hopper Wagon",2001,228,"9V"
"10018-1","Darth Maul",2001,1868,"Star Wars"
"10019-1","Rebel Blockade Runner - UCS",2001,1747,"Ultimate Collector Series"
"100-2","4.5V Motor with Wheels (Large Version)",1966,27,"Supplemental"
"10020-1","Santa Fe Super Chief, NOT the Limited Edition",2002,427,"Train"
"10020-2","Santa Fe Super Chief, Limited Edition",2002,433,"Train"
"10021-1","U.S.S. Constellation",2003,974,"Hobby Sets"
"10022-1","Santa Fe Cars - Set II (dining, observation, or sleeping car)",2002,410,"9V"
"10023-1","Master Builder Set",2002,112,"Bionicle"
"10024-1","Red Baron",2002,669,"Sculptures"
"10025-1","Santa Fe Cars - Set I (mail or baggage car)",2002,325,"9V"
"10026-1","Naboo Starfighter - UCS",2002,187,"Ultimate Collector Series"
"10027-1","Train Engine Shed",2003,670,"9V"
"10029-1","Lunar Lander",2003,468,"Discovery"
"10030-1","Imperial Star Destroyer - UCS",2002,3115,"Ultimate Collector Series"
"10036-1","Pizza To Go",2002,150,"Classic Town"
"10037-1","Breezeway Cafe",2002,194,"Classic Town"
"10039-1","Black Falcon's Fortress",2002,431,"Castle"
"10040-1","Black Seas Barracuda",2002,914,"Pirates"
"10041-1","Main Street, Reissue",2003,639,"Classic Town"
"10042-1","American Flag",2003,35,"Seasonal"
"10043-1","2x2 Electrical Plate",2002,1,"Bulk Bricks"
"10044-1","Windows and Doors",2002,44,"Bulk Bricks"
"10045-1","Pillars and Beams",2002,13,"Bulk Bricks"
"10046-1","Brown Tiles",2002,100,"Bulk Bricks"
"10047-1","Light Gray Arches",2002,36,"Bulk Bricks"
"10048-1","Small Wheels and Axles",2002,61,"Bulk Bricks"
"10049-1","Large Wheels and Axles",2002,31,"Bulk Bricks"
"10050-1","Gray Fences",2002,34,"Bulk Bricks"
"10051-1","Transparent Bricks",2002,50,"Bulk Bricks"
"10053-1","Black Slopes 33",2003,44,"Bulk Bricks"
"10054-1","Black Slopes 33 3 x 2 and 3 x 4",2003,68,"Bulk Bricks"
"10055-1","Black Slopes 33 3 x 1 and 3 x 3",2003,50,"Bulk Bricks"
"10056-1","White Plates 2 x n",2002,56,"Bulk Bricks"
"10057-1","Black Plates 2 x n",2002,56,"Bulk Bricks"
"10058-1","Red Plates 2 x n",2002,56,"Bulk Bricks"
"10059-1","Dark Green Plates 2 x n",2002,56,"Bulk Bricks"
"10060-1","Light Gray Plates 2 x n",2002,56,"Bulk Bricks"
"10061-1","Black Plates 1 x n",2002,84,"Bulk Bricks"
"10062-1","Red Plates 1 x n",2002,84,"Bulk Bricks"
"10063-1","Dark Green Plates 1 x n",2002,84,"Bulk Bricks"
"10064-1","Light Gray Plates 1 x n",2002,84,"Bulk Bricks"
"10065-1","White Plates 1 x n",2002,84,"Bulk Bricks"
"10066-1","Castle Accessories",2002,41,"Bulk Bricks"
"10067-1","Mini-Fig Headgear",2002,53,"Bulk Bricks"
"10068-1","Santa Claus",2002,39,"Seasonal"
"10069-1","Christmas Tree",2002,33,"Seasonal"
"10070-1","Reindeer",2002,26,"Seasonal"
"10071-1","Mr. Bunny",2003,25,"Seasonal"
"10072-1","TECHNIC Beams",2003,56,"Bulk Bricks"
"10073-1","Bushes",2003,130,"Bulk Bricks"
"10074-1","Cross Axles",2003,68,"Bulk Bricks"
"10075-1","Spider-Man Action Pack",2002,25,"Super Heroes"
"10076-1","TECHNIC Gear Wheels",2002,38,"Bulk Bricks"
"10077-1","TECHNIC Motor",2003,55,"Bulk Bricks"
"10078-1","Train Connection Wire",2003,1,"Bulk Bricks"
"10079-1","Snowman",2003,42,"Seasonal"
"10080-1","Angel",2003,33,"Seasonal"
"10081-1","Birthday Pack Heart",2004,70,"Clikits"
"10082-1","Birthday Pack Daisy",2004,70,"Clikits"
"10083-1","Birthday Pack Star",2004,70,"Clikits"
"10090-1","Turkey",2003,54,"Seasonal"
"10106-1","Snowflake",2006,107,"Seasonal"
"101-1","4.5V Battery Case",1969,1,"Supplemental"
"10111-1","Foliferous Tree",2001,10,"Bulk Bricks"
"10112-1","Bush",2001,25,"Bulk Bricks"
"10113-1","Cypress Trees",2001,5,"Bulk Bricks"
"10114-1","2 x 2 Sand Red Roof Tiles",2001,100,"Bulk Bricks"
"10115-1","Jumper Bricks",2001,80,"Bulk Bricks"
"10116-1","Accessories Heart",2004,50,"Clikits"
"10117-1","Accessories Daisy",2004,50,"Clikits"
"10118-1","Accessories Star",2004,50,"Clikits"
"10121-1","NBA Basketball Teams",2003,16,"Sports"
"10123-1","Cloud City",2003,707,"Star Wars"
"10124-1","Wright Flyer",2003,663,"Sculptures"
"10127-1","NHL Action Set with Stickers",2003,56,"Sports"
"10128-1","Train Level Crossing",2003,326,"9V"
"10129-1","Rebel Snowspeeder - UCS",2003,1456,"Ultimate Collector Series"
"101-3","4.5V Battery Case",1966,1,"Supplemental"
"10131-1","TIE Fighter Collection",2004,688,"Star Wars"
"10132-1","Motorized Hogwarts Express",2004,693,"Harry Potter"
"10133-1","Burlington Northern Santa Fe Locomotive",2004,400,"Train"
"10134-1","Y-wing Attack Starfighter - UCS",2004,1487,"Ultimate Collector Series"
"10143-1","Death Star II",2005,3460,"Ultimate Collector Series"
"10144-1","Sandcrawler",2005,1679,"Star Wars"
"10145-1","Assorted Light Gray Bricks",2004,124,"Bulk Bricks"
"10146-1","Assorted Dark Gray Bricks",2004,62,"Bulk Bricks"
"10147-1","Assorted Brown Bricks",2004,62,"Bulk Bricks"
"10148-1","Assorted Light Gray Plates",2004,84,"Bulk Bricks"
"10149-1","Assorted Dark Gray Plates",2004,42,"Bulk Bricks"
"10150-1","Assorted Brown Plates",2004,42,"Bulk Bricks"
"10151-1","Hot Rod",2004,420,"Model Team"
"10152-1","Maersk Sealand Container Ship 2004 Edition",2004,982,"Sculptures"
"10152-2","Maersk Sealand Container Ship 2005 Edition",2005,982,"Sculptures"
"10152-3","Maersk Line Container Ship 2006 Edition",2006,982,"Sculptures"
"10153-1","Electric Train Motor 9V (My Own Train)",2002,3,"Supplemental"
"10155-1","Maersk Line Container Ship 2010 Edition",2010,984,"Sculptures"
"10156-1","LEGO Truck",2004,105,"Classic Town"
"10157-1","High Speed Train Locomotive",2004,134,"9V"
"10158-1","High Speed Train Car",2004,151,"9V"
"10159-1","City Airport -City Logo Box",2004,913,"City"
"10159-2","City Airport -Full Size Image Box",2004,913,"Classic Town"
"10160-1","Black Ridge Roof Tiles",2004,48,"Bulk Bricks"
"10161-1","Black Roof Tiles",2004,76,"Bulk Bricks"
"10162-1","Red Ridge Tiles",2004,48,"Bulk Bricks"
"10163-1","Red Roof Tiles",2004,76,"Bulk Bricks"
"10165-1","Elf Boy",2004,27,"Seasonal"
"10166-1","Elf Girl",2004,31,"Seasonal"
"10167-1","Brickmaster Kit (with Digital Designer CD)",2004,182,"Other"
"10168-1","Mrs. Bunny",2005,64,"Seasonal"
"10169-1","Chicken & Chicks",2005,60,"Seasonal"
"10170-1","TTX Intermodal Double-Stack Car",2005,365,"Train"
"10173-1","Holiday Train",2006,969,"Train"
"10174-1","Imperial AT-ST - UCS",2006,1070,"Ultimate Collector Series"
"10175-1","Vader's TIE Advanced - UCS",2006,1211,"Ultimate Collector Series"
"10176-1","Royal King's Castle",2006,871,"Castle"
"10177-1","Boeing 787 Dreamliner",2006,1196,"Sculptures"
"10178-1","Motorized Walking AT-AT",2007,1137,"Star Wars"
"10179-1","Millennium Falcon - UCS",2007,5195,"Ultimate Collector Series"
"10181-1","Eiffel Tower 1:300 Scale",2007,3428,"Sculptures"
"10182-1","Cafe Corner",2007,2058,"Modular Buildings"
"10183-1","Hobby Train",2007,1080,"Factory"
"10184-1","Town Plan",2008,2017,"Town"
"10185-1","Green Grocer",2008,2358,"Modular Buildings"
"10186-1","General Grievous",2008,1084,"Ultimate Collector Series"
"10187-1","Volkswagen Beetle (VW Beetle)",2008,1625,"Sculptures"
"10188-1","Death Star",2008,3807,"Ultimate Collector Series"
"10189-1","Taj Mahal",2008,5922,"Sculptures"
"10190-1","Market Street",2007,1250,"Modular Buildings"
"10191-1","Star Justice",2008,884,"Factory"
"10192-1","Space Skulls",2008,956,"Factory"
"10193-1","Medieval Market Village",2009,1616,"Castle"
"10194-1","Emerald Night",2009,1089,"Train"
"10195-1","Republic Dropship with AT-OT",2009,1757,"Star Wars"
"10196-1","Grand Carousel",2009,3260,"Sculptures"
"10197-1","Fire Brigade",2009,2236,"Modular Buildings"
"10198-1","Tantive IV",2009,1408,"Star Wars"
"10199-1","Winter Toy Shop",2009,815,"Seasonal"
"10-2","Universal Building Set",1976,129,"Universal Building Set"
"10200-1","Custom Car Garage",2008,893,"Factory"
"10201-1","Takutanuva",2003,3,"Bionicle"
"10202-1","Ultimate Dume (Limited Edition with Exclusive Mask Of Power)",2004,6,"Bionicle"
"10202-2","Ultimate Dume",2004,3,"Bionicle"
"10203-1","Voporak",2005,3,"Bionicle"
"10204-1","Vezon & Kardas",2006,3,"Bionicle"
"10205-1","Locomotive",2002,231,"9V"
"102-1","4.5V Motor Set",1968,24,"Supplemental"
"10210-1","Imperial Flagship",2010,1623,"Pirates"
"10211-1","Grand Emporium",2010,2186,"Modular Buildings"
"10212-1","Imperial Shuttle - UCS",2010,2502,"Ultimate Collector Series"
"10213-1","Shuttle Adventure",2010,1203,"Sculptures"
"10213sup-1","Supplemental Pack for Shuttle Adventure Set 10213",2010,29,"Service Packs"
"10214-1","Tower Bridge",2010,4295,"Sculptures"
"10215-1","Obi-Wan's Jedi Starfighter - UCS",2010,675,"Ultimate Collector Series"
"10216-1","Winter Village Bakery",2010,686,"Seasonal"
"10217-1","Diagon Alley",2011,2031,"Harry Potter"
"10218-1","Pet Shop",2011,2034,"Modular Buildings"
"10219-1","Maersk Container Train",2011,1232,"Train"
"10220-1","Volkswagen T1 Camper Van",2011,1333,"Sculptures"
"10221-1","Super Star Destroyer",2011,3151,"Ultimate Collector Series"
"10222-1","Winter Village Post Office",2011,821,"Seasonal"
"10223-1","Kingdoms Joust",2012,1574,"Castle"
"10224-1","Town Hall",2012,2771,"Modular Buildings"
"10225-1","R2-D2",2012,2130,"Star Wars"
"10226-1","Sopwith Camel",2012,877,"Sculptures"
"10227-1","B-wing Starfighter",2012,1484,"Ultimate Collector Series"
"10228-1","Haunted House",2012,2062,"Monster Fighters"
"10229-1","Winter Village Cottage",2012,1490,"Seasonal"
"10230-1","Mini Modulars",2012,1358,"Modular Buildings"
"10231-1","Shuttle Expedition",2011,1229,"Sculptures"
"10232-1","Palace Cinema",2013,2192,"Modular Buildings"
"10233-1","Horizon Express",2013,1349,"Train"
"10234-1","Sydney Opera House",2013,2988,"Sculptures"
"10235-1","Winter Village Market [Initial Release]",2013,1259,"Seasonal"
"10236-1","Ewok Village",2013,2023,"Star Wars"
"10237-1","The Tower of Orthanc",2013,2360,"The Lord of the Rings"
"10240-1","Red Five X-Wing Starfighter",2013,1573,"Ultimate Collector Series"
"10241-1","Maersk Line Triple-E",2014,1515,"Creator"
"10242-1","Mini Cooper",2014,1074,"Creator"
"10242-2","Mini Cooper",2015,1076,"Creator"
"10243-1","Parisian Restaurant",2014,2469,"Modular Buildings"
"10244-1","Fairground Mixer",2014,1743,"Creator"
"10245-1","Santa’s Workshop",2014,882,"Christmas"
"1024601-1","Adventurers Value Pack (TRU Exclusive)",2001,3,"Adventurers"
"10246-1","Detective’s Office",2015,2261,"Modular Buildings"
"10247-1","Ferris Wheel",2015,2463,"Creator"
"10248-1","Ferrari F40",2015,1157,"Creator"
"10249-1","Winter Toy Shop",2015,895,"Seasonal"
"10250-1","Year Of The Snake",2013,244,"Creator"
"10251-1","Brick Bank",2016,2383,"Modular Buildings"
"10252-1","Volkswagen Beetle",2016,1166,"Creator"
"10253-1","Big Ben",2016,4166,"Model"
"10254-1","Winter Holiday Train",2016,737,"Seasonal"
"10255-1","Assembly Square",2017,4009,"Modular Buildings"
"10257-1","Carousel",2017,2669,"Creator"
"10285-1","Compass Sensor for Mindstorms NXT",2011,1,"Mindstorms"
"10287-1","Intelligent NXT Brick (Black)",2009,1,"Mindstorms"
"1029-1","Milk Delivery Truck - Tine",1999,90,"Classic Town"
"102A-1","Front-End Loader",1970,64,"Legoland"
"102A-2","Front-End Loader",1970,56,"Legoland"
"10-3","Locomotive Wheels",1977,8,"Service Packs"
"1030-1","TECHNIC I: Simple Machines Set",1985,189,"Technic"
"103-1","4.5V Motor Set with Rubber Tracks",1969,24,"Universal Building Set"
"1031-1","Building Cards - 1030",1983,20,"Technic"
"1032-1","TECHNIC II Set {4.5v}",1985,278,"Technic"
"1033-1","Building Cards - 1032",1985,20,"Technic"
"1034-1","Teachers Resource Set",1985,1534,"Technic"
"1038-1","ERBIE the Robo-Car",1985,120,"Technic"
"1039-1","Manual Control Set 1",1986,39,"Technic"
"104-1","Replacement 4.5V Motor",1970,1,"Supplemental"
"1045-2","Educational LEGO Building Set",1976,683,"Educational and Dacta"
"1049-1","Ships - 247 elements and 1 poster",1985,238,"Educational and Dacta"
"10500-1","Horse Stable",2013,44,"Duplo"
"10501-1","Zoo friends",2013,5,"Duplo"
"10504-1","My First Circus",2013,62,"Duplo"
"10505-1","Play House",2013,83,"Duplo"
"10506-1","Train Accessory Set",2013,24,"Duplo"
"10507-1","My First Train Set",2013,52,"Duplo"
"10508-1","Deluxe Train Set",2013,134,"Duplo"
"10509-1","Dusty and Chug",2013,16,"Duplo"
"105-1","Canada Post Truck",1984,65,"Classic Town"
"10510-1","Ripslinger's Air Race",2013,40,"Duplo"
"10511-1","Skipper's Flight School",2013,49,"Duplo"
"10512-1","Jake's Treasure Hunt",2013,22,"Duplo"
"10513-1","Never Land Hideout",2013,37,"Duplo"
"10514-1","Jake's Pirate Ship Bucky",2013,56,"Duplo"
"10515-1","Ariel's Undersea Castle",2013,39,"Duplo"
"10516-1","Ariel's Magical Boat Ride",2012,29,"Duplo"
"10517-1","My First Garden",2013,37,"Duplo"
"10518-1","My First Construction Site",2013,47,"Duplo"
"105-2","Building Set",1973,150,"Universal Building Set"
"10520-1","Big Front Loader",2013,12,"Duplo"
"10521-1","Baby Calf",2014,9,"Duplo"
"10522-1","Farm Animals",2014,12,"Duplo"
"10524-1","Farm Tractor",2014,29,"Duplo"
"10525-1","Big Farm",2014,121,"Duplo"
"10526-1","Peter Pan's Visit",2014,39,"Duplo"
"10527-1","Ambulance",2014,14,"Duplo"
"10528-1","School Bus",2014,26,"Duplo"
"10529-1","Truck",2014,16,"Duplo"
"1053-1","Community Buildings",1984,895,"Educational and Dacta"
"10531-1","Mickey Mouse and Friends",2012,65,"Duplo"
"10532-1","My First Police Set",2014,39,"Duplo"
"10538-1","Fire and Rescue Team",2014,30,"Duplo"
"10539-1","Beach Racing",2014,36,"Duplo"
"1054-1","Stena Line Ferry",1999,211,"Universal Building Set"
"10542-1","Sleeping Beauty's Fairy Tale",2014,55,"Disney Princess"
"10543-1","Superman™ Rescue",2014,19,"Duplo"
"10544-1","The Joker Challenge",2014,40,"Duplo"
"10545-1","Batcave Adventure",2014,59,"Duplo"
"10546-1","My First Shop",2014,39,"Duplo"
"10550-1","Circus Transport",2013,9,"Duplo"
"10552-1","Creative Cars",2013,42,"Duplo"
"10553-1","Toddler Build and Play Cubes",2013,17,"Duplo"
"10554-1","Toddler Build and Pull Along",2013,15,"Duplo"
"10555-1","Creative Bucket",2013,65,"Duplo"
"10557-1","Giant Tower",2013,200,"Duplo"
"10558-1","Number Train",2013,31,"Duplo"
"1056-1","Basic School Pack - 773 elements with teacher's manual",1985,785,"Educational and Dacta"
"10561-1","Toddler Starter Building Set",2013,37,"Duplo"
"10565-1","LEGO® DUPLO® Creative Suitcase",2014,135,"Duplo"
"10566-1","Creative Picnic",2014,52,"Duplo"
"10567-1","Toddler Build and Boat Fun",2014,18,"Duplo"
"10568-1","Knight Tournament",2014,16,"Duplo"
"10569-1","Treasure Attack",2014,46,"Duplo"
"10570-1","LEGO® DUPLO® All-in-One-Gift-Set",2014,30,"Duplo"
"10571-1","All-in-One-Pink-Box-of-Fun",2014,65,"Duplo"
"10572-1","All-in-One-Box-of-Fun",2014,65,"Duplo"
"10573-1","Creative Animals",2014,25,"Duplo"
"10574-1","Creative Ice Cream",2014,23,"Duplo"
"10575-1","Duplo Creative Building Cube",2014,75,"Duplo"
"10576-1","Zoo Care",2014,9,"Duplo"
"10577-1","Big Royal Castle",2014,135,"Duplo"
"10579-1","Clubhouse Café",2014,16,"Duplo"
"10580-1","Deluxe Box of Fun",2014,95,"Duplo"
"10581-1","Forest: Ducks",2015,13,"Duplo"
"10582-1","Forest: Animals",2015,39,"Duplo"
"10583-1","Forest: Fishing Trip",2015,30,"Duplo"
"10584-1","Forest: Park",2015,102,"Duplo"
"10585-1","Mom and Baby",2015,13,"Duplo"
"10586-1","Ice Cream Truck",2015,11,"Duplo"
"10587-1","Café",2015,51,"Duplo"
"10589-1","Rally Car",2015,13,"Duplo"
"10590-1","Airport",2015,29,"Duplo"
"10591-1","Fire Boat",2015,19,"Duplo"
"10592-1","Fire Truck",2015,26,"Duplo"
"10593-1","Fire Station",2015,104,"Duplo"
"10594-1","Sofia the First™ Royal Stable",2015,38,"Duplo"
"10595-1","Sofia the First™ Royal Castle",2015,87,"Duplo"
"10596-1","Disney Princess™ Collection",2015,63,"Duplo"
"10597-1","Mickey & Minnie Birthday Parade",2015,24,"Duplo"
"10599-1","Batman Adventure",2015,46,"Duplo"
"10600-1","Disney • Pixar Cars™ Classic Race",2015,29,"Duplo"
"1060-1","Road Plates and Signs",1981,30,"Educational and Dacta"
"10601-1","Delivery Vehicle",2015,19,"Duplo"
"10602-1","Camping",2015,37,"Duplo"
"10603-1","My First Bus",2015,17,"Duplo"
"10604-1","Jake and the Never Land Pirates Treasure Island",2015,25,"Duplo"
"10605-1","Doc McStuffins Rosie the Ambulance",2015,16,"Duplo"
"10606-1","Doc McStuffins Backyard Clinic",2015,39,"Duplo"
"10607-1","Spider-Man Web-Bike Workshop",2015,13,"Duplo"
"10608-1","Spider-Man Spider Truck Adventure",2015,28,"Duplo"
"106-1","UNICEF Van",1985,59,"Classic Town"
"1061-1","Single Disk Pack",2000,1,"Technic"
"10615-1","My First Tractor",2015,12,"Duplo"
"10616-1","My First Playhouse",2015,25,"Duplo"
"10617-1","My First Farm",2015,26,"Duplo"
"10618-1","LEGO® DUPLO® Creative Building Box",2015,69,"Duplo"
"1062-1","{Town Vehicles}",1980,158,"Educational and Dacta"
"10622-1","Large Creative Box",2015,193,"Duplo"
"10623-1","Basic Bricks – Large",2015,0,"Duplo"
"1063-1","Community Workers",1985,169,"Educational and Dacta"
"1064-1","Dacta Buildings",1981,0,"Educational and Dacta"
"1065-1","House Accessories - 182 elements",1985,196,"Educational and Dacta"
"10654-1","XL Creative Brick Box",2016,1599,"Classic"
"10655-1","Monster Trucks",2013,197,"Creator"
"10656-1","My First LEGO Princess",2013,88,"Creator"
"10657-1","My First LEGO Set",2013,148,"Creator"
"10659-1","Blue Suitcase",2013,152,"Creator"
"10660-1","Pink Suitcase",2013,157,"Creator"
"1066-1","36 Little People + Accessories",1982,174,"Educational and Dacta"
"10661-1","My First LEGO Fire Station",2013,90,"Creator"
"10662-1","LEGO Creative Bucket",2013,607,"Creator"
"10663-1","LEGO Creative Chest",2013,607,"Creator"
"10664-1","Creative Tower",2013,1599,"Creator"
"10665-1","Spider-Man: Spider-Car Pursuit",2014,55,"Juniors"
"10666-1","Digger",2014,75,"Juniors"
"10667-1","Construction",2014,159,"Juniors"
"10668-1","The Princess Play Castle",2014,149,"Juniors"
"10669-1","Turtle Lair",2014,107,"Juniors"
"1067-1","Community Vehicles",1988,251,"Educational and Dacta"
"10671-1","Fire Emergency",2014,123,"Juniors"
"10672-1","Batman: Defend the Batcave",2014,150,"Juniors"
"10673-1","Race Car Rally",2014,349,"Juniors"
"10674-1","Pony Farm",2014,305,"Juniors"
"10675-1","Police – The Big Escape",2014,146,"Juniors"
"10676-1","Knights’ Castle",2014,479,"Juniors"
"10677-1","Beach Excursion",2015,74,"Juniors"
"10679-1","Pirate Treasure Hunt",2015,57,"Juniors"
"10680-1","Garbage Truck",2015,99,"Juniors"
"1068-1","Air Patrol",1999,20,"Town"
"10681-1","Creative Building Cube",2014,599,"Creator"
"10682-1","Creative Suitcase",2014,1016,"Creator"
"10683-1","Road Work Truck",2015,132,"Juniors"
"10684-1","Supermarket Suitcase",2015,132,"Juniors"
"10685-1","Fire Suitcase",2015,113,"Juniors"
"10686-1","Family House",2015,226,"Juniors"
"10687-1","Spider-Man™ Hideout",2015,137,"Juniors"
"1069-1","Speedboat",1999,22,"Classic Town"
"10692-1","Creative Bricks",2015,220,"Classic"
"10693-1","Creative Supplement",2015,302,"Classic"
"10693-1-s1","Rocket",2015,12,"Classic"
"10694-1","Creative Supplement Bright",2015,302,"Classic"
"10695-1","Creative Building Box",2015,579,"Classic"
"10696-1","Medium Creative Brick Box",2015,483,"Classic"
"10697-1","XXXL Box",2015,1499,"Classic"
"10698-1","Large Creative Brick Box",2015,789,"Classic"
"10699-1","Sand Baseplate",2015,1,"Classic"
"10700-1","Green Baseplate",2015,1,"Classic"
"1070-1","Stunt Flyer",1999,20,"Town"
"10701-1","Gray Baseplate",2015,1,"Classic"
"10702-1","Creative Building Set",2016,582,"Classic"
"10703-1","Creative Builder Box",2017,499,"Classic"
"10704-1","Creative Box",2017,900,"Classic"
"10705-1","Creative Building Basket",2016,999,"Classic"
"10706-1","Blue Creative Box",2017,78,"Classic"
"10707-1","Red Creative Box",2017,55,"Classic"
"10708-1","Green Creative Box",2017,66,"Classic"
"10709-1","Orange Creative Box",2017,60,"Classic"
"107-1","4.5V Motor Set",1976,31,"Universal Building Set"
"107-2","Canada Post Mail Truck",1985,138,"Classic Town"
"10720-1","Police Helicopter Chase",2016,63,"Juniors"
"10721-1","Iron Man vs Loki",2016,66,"Juniors"
"10722-1","Snake Showdown",2016,92,"Juniors"
"10723-1","Ariel's Dolphin Carriage",2016,70,"Juniors"
"10724-1","Batman & Superman vs. Lex Luthor",2016,164,"Super Heroes"
"10725-1","Lost Temple",2016,171,"Juniors"
"10726-1","Stephanie's Horse Carriage",2016,58,"Friends"
"10727-1","Emma's Ice Cream Truck",2016,136,"Friends"
"10728-1","Mia's Vet Clinic",2016,182,"Friends"
"10729-1","Cinderella's Carriage",2016,116,"Juniors"
"10734-1","Demolition Site",2017,162,"Juniors"
"10735-1","Police Truck Chase",2017,90,"Juniors"
"10736-1","Anna & Elsa's Frozen Playground",2017,94,"Juniors"
"10737-1","Batman vs. Mr. Freeze",2017,63,"Juniors"
"10740-1","Fire Patrol Suitcase",2017,108,"Juniors"
"10746-1","Mia's Farm Suitcase",2017,104,"Juniors"
"10747-1","Andrea and Stephanie's Beach Holiday",2017,141,"Juniors"
"1075-1","LEGO People Supplementary Set",1980,256,"Educational and Dacta"
"1076-1","Advent Calendar 1999",1999,228,"Seasonal"
"1076-10","Advent Calendar 1999 (Day  9) Fire Engine",1999,10,"Seasonal"
"1076-11","Advent Calendar 1999 (Day 10) Santa Minifig",1999,5,"Seasonal"
"1076-12","Advent Calendar 1999 (Day 11) Dog",1999,8,"Seasonal"
"1076-13","Advent Calendar 1999 (Day 12) Hippo",1999,9,"Seasonal"
"1076-14","Advent Calendar 1999 (Day 13) Hovercraft",1999,10,"Seasonal"
"1076-15","Advent Calendar 1999 (Day 14) Penguin",1999,8,"Seasonal"
"1076-16","Advent Calendar 1999 (Day 15) Elf",1999,12,"Seasonal"
"1076-17","Advent Calendar 1999 (Day 16) Seaplane",1999,10,"Seasonal"
"1076-18","Advent Calendar 1999 (Day 17) Gentleman",1999,10,"Seasonal"
"1076-19","Advent Calendar 1999 (Day 18) Elephant",1999,10,"Seasonal"
"1076-2","Advent Calendar 1999 (Day  1) Plane",1999,11,"Seasonal"
"1076-20","Advent Calendar 1999 (Day 19) Sea Plane",1999,8,"Seasonal"
"1076-21","Advent Calendar 1999 (Day 20) Cow",1999,10,"Seasonal"
"1076-22","Advent Calendar 1999 (Day 21) Police Car",1999,11,"Seasonal"
"1076-23","Advent Calendar 1999 (Day 22) Dog with Red Hat",1999,12,"Seasonal"
"1076-24","Advent Calendar 1999 (Day 23) Police Helicopter",1999,10,"Seasonal"
"1076-25","Advent Calendar 1999 (Day 24) Santa",1999,11,"Seasonal"
"1076-3","Advent Calendar 1999 (Day  2) Snowman",1999,11,"Seasonal"
"1076-4","Advent Calendar 1999 (Day  3) Speedboat",1999,7,"Seasonal"
"1076-5","Advent Calendar 1999 (Day  4) Girl",1999,8,"Seasonal"
"1076-6","Advent Calendar 1999 (Day  5) Sailboat",1999,9,"Seasonal"
"1076-7","Advent Calendar 1999 (Day  6) Reindeer",1999,12,"Seasonal"
"1076-8","Advent Calendar 1999 (Day  7) Plane",1999,10,"Seasonal"
"1076-9","Advent Calendar 1999 (Day  8) Girl",1999,8,"Seasonal"
"1077-1","Supplementary Set",1976,170,"Educational and Dacta"
"10801-1","Baby Animals",2016,13,"Duplo"
"10802-1","Savanna",2016,15,"Duplo"
"10803-1","Arctic",2016,32,"Duplo"
"10804-1","Jungle",2016,86,"Duplo"
"10805-1","Around the World",2016,148,"Duplo"
